--------- beginning of main
03-09 21:00:57.595  3163  6016 D ConnectivityService: Returning BLOCKED NetworkInfo to uid=10424
03-09 21:00:57.602  3163  5158 D WifiStaIfaceHidlImpl: getCachedScanData is not implemented by HIDL
03-09 21:00:57.625 17723 17751 I appium  : channel read: GET /session/d20920b4-dc78-4035-ab16-c840ca5ad390/source
03-09 21:00:57.627 17723 17751 I appium  : Source command
03-09 21:00:57.628 17723 17751 I appium  : Waiting up to 10000ms for the device to idle
03-09 21:00:57.708 13673 13690 W facebook.katana: Profile data size exceeds 500000 bytes. It has 544669 bytes.
--------- beginning of system
03-09 21:00:58.112  3163  4238 D ActivityManager: freezing 15605 com.android.rkpdapp, reason = oom_cached
03-09 21:00:58.118  3163  5168 D InetDiagMessage: Destroyed 0 sockets, proto=IPPROTO_TCP, family=AF_INET, states=14
03-09 21:00:58.120  3163  5168 D InetDiagMessage: Destroyed 0 sockets, proto=IPPROTO_TCP, family=AF_INET6, states=14
03-09 21:00:58.120  3163  5168 D InetDiagMessage: Destroyed live tcp sockets for uids={10562} in 4ms
03-09 21:00:58.128 17773 18011 D Helios:Network-White: Block request editor-api.capcutapi.com
03-09 21:00:58.133 17773 17853 D Helios:Network-TTNet: pop event true for 5180eb09-3476-42c9-9426-0fb311142185
03-09 21:00:58.329  2163  2163 D motorola.hardware.sensorext-service: handle id:13 wxh:1088x2640 uwxuh:1080x2640 size: 11489280 fd:11 fd_meta:12 flags:0x4000228 usage:0x33  format:0x1 layer_count: 1 reserved_size = 0
03-09 21:00:58.330  2064  4171 D slpi-TCS3720: ALS_REPORT lux 1.089483, ch0 0.606000-0.388515-0.199845-0.086845, scale 1.1878, fps 90, client 1
03-09 21:00:58.330  2195  2392 I SDM     : HWCSession::SetCWBOutputBuffer: CWB config passed by cwb_client : tappoint 1  CWB_ROI : (210.000000 26.000000 274.000000 90.000000) for display [1 0 0]
03-09 21:00:58.330  2064  4171 D slpi-TCS3720: PRX_OC info Far, Total 0, pdata 0, offset 0 step 0.63, ore 0:0 step 21.00, TH_H 1020, TH_L 0, client 0
03-09 21:00:58.331  2195 18537 I SDM     : HWCDisplay::SetReadbackBuffer: CWB config from client: tap_point 1, CWB ROI Rect(210.000000 26.000000 274.000000 90.000000), PU_as_CWB_ROI 0, Cwb full rect : (0.000000 0.000000 1080.000000 2640.000000)
03-09 21:00:58.331  2195 18537 I SDM     : HWCDisplay::SetReadbackBuffer: Successfully configured the output buffer: readback_buffer_queued_ 1, readback_configured_ 0, cwb_client 3
03-09 21:00:58.331  2195 18537 I SDM     : HWCSession::ProcessRequests: Successfully configured CWB buffer.
03-09 21:00:58.338  2195 18537 I SDM     : HWCSession::ProcessRequests: Pushing release fence in fenece wait queue.
03-09 21:00:58.338  2195 18537 I SDM     : HWCSession::ProcessRequests: Creating AsyncFenceWaits async thread.
03-09 21:00:58.338  2195 18537 I SDM     : HWCSession::ProcessRequests: Remove current CWB request from the pending request queue.
03-09 21:00:58.338  2195 18537 I SDM     : HWCSession::ProcessRequests: No pending cwb requests found in the queue.
03-09 21:00:58.356  2195 18538 I SDM     : HWCSession::NotifyCWBStatus: Notify the client about buffer status 0.
03-09 21:00:58.357  2195 18538 I SDM     : HWCSession::PerformFenceWaits: Remove current release fence from the pending fence wait queue.
03-09 21:00:58.357  2195 18538 I SDM     : HWCSession::PerformFenceWaits: CWB fence queue is empty. No pending release fence to wait on.
03-09 21:00:58.358  2195  2269 I SDM     : HWDeviceDRM::SetupConcurrentWriteback: Tear down the Concurrent Writeback topology
03-09 21:00:58.371  2163  2163 D SENSOREXT_ALS_COMP: the algorithm reported a negative value -0.86 ,lux = 0
03-09 21:00:58.372  2163  2163 D SENSOREXT_ALS_COMP: FrontLight: ReportLux 1.09 (1.09-0.00), pre 1.38, dbv 1807, dc 0, fps 90, chPanel -0.43--0.06--0.06-0.01, facCal:lux_s 1.19 cha_s 1.05-1.05-1.10-1.23, RunInfo: DPB 2502-12, TF 2502-0
03-09 21:00:58.586 17773 18011 W System.err: java.lang.NumberFormatException: For input string: ""
03-09 21:00:58.587 17773 18011 W System.err: 	at java.lang.Integer.parseInt(Integer.java:800)
03-09 21:00:58.587 17773 18011 W System.err: 	at java.lang.Integer.parseInt(Integer.java:908)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.vega.launcher.network.interceptors.CrackingInterceptor.intercept(Native Method)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.intercept.RealInterceptorChain.proceed(Unknown Source:17236130)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.vega.launcher.network.interceptors.TimeOutSettingInterceptor.intercept(Unknown Source:17302191)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.intercept.RealInterceptorChain.proceed(Unknown Source:17236130)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.vega.launcher.network.interceptors.LynxSignVerifyInterceptor.intercept(Unknown Source:17170503)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.intercept.RealInterceptorChain.proceed(Unknown Source:17236130)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.vega.launcher.network.interceptors.SignVerifyInterceptor.intercept(Unknown Source:17104974)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.intercept.RealInterceptorChain.proceed(Unknown Source:17236130)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.vega.launcher.network.interceptors.AssistInterceptor.intercept(Unknown Source:17236333)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.intercept.RealInterceptorChain.proceed(Unknown Source:17236130)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.vega.effectplatform.artist.net.ArtistCollectInterceptor.intercept(Unknown Source:17105003)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.intercept.RealInterceptorChain.proceed(Unknown Source:17236130)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.vega.launcher.network.interceptors.RetrofitHeaderInterceptor.intercept(Unknown Source:17367931)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.intercept.RealInterceptorChain.proceed(Unknown Source:17236130)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.vega.libeffectapi.util.VimoNetHeaderInterceptor.intercept(Unknown Source:17170582)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.intercept.RealInterceptorChain.proceed(Unknown Source:17236130)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.lm.components.network.extra.HttpHeaderInterceptor.intercept(Unknown Source:17302064)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.intercept.RealInterceptorChain.proceed(Unknown Source:17236130)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.privacy.dispatch.monitor.BootDomainInterceptor.intercept(Unknown Source:17170460)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.intercept.RealInterceptorChain.proceed(Unknown Source:17236130)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.privacy.region.CdnRegionInterceptor.intercept(Unknown Source:17235977)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.intercept.RealInterceptorChain.proceed(Unknown Source:17236130)
03-09 21:00:58.587 17773 18011 W System.err: 	at ms.bd.o.b3$a.intercept(Unknown Source:17170438)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.intercept.RealInterceptorChain.proceed(Unknown Source:17236130)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.frameworks.baselib.network.http.retrofit.BaseSsInterceptor.intercept(Unknown Source:16973846)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.intercept.RealInterceptorChain.proceed(Unknown Source:17236130)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.SsHttpCall.getResponseWithInterceptorChain(Unknown Source:327790)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.SsHttpCall.execute(Unknown Source:327713)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.bytedance.retrofit2.ExecutorCallAdapterFactory$ExecutorCallbackCall.execute(Unknown Source:65538)
